epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.9103,1.89436,4.00975,1.86917,0.27997,0.27047,0.15722,0.05952,2.1623,3.24875,1.84349,0.0672164,3.27869e-06,3.27869e-06
2,73.1099,1.69985,2.44452,1.67787,0.34518,0.35687,0.2736,0.10199,2.16088,2.43606,1.71131,0.0338864,6.61162e-06,6.61162e-06
3,104.687,1.70231,2.34716,1.66263,0.41394,0.37879,0.32528,0.12369,2.16226,2.3469,1.71894,0.000556391,9.94293e-06,9.94293e-06
4,136.793,1.57511,2.08987,1.54975,0.43377,0.41937,0.371,0.16308,1.97598,2.18542,1.54801,9.9945e-06,9.9945e-06,9.9945e-06
5,168.592,1.55041,2.04449,1.53573,0.41848,0.46117,0.38833,0.17705,1.87521,2.28463,1.49644,9.99023e-06,9.99023e-06,9.99023e-06
6,200.148,1.52699,2.08026,1.54733,0.52699,0.42551,0.40875,0.20935,1.74713,2.21369,1.40959,9.98474e-06,9.98474e-06,9.98474e-06
7,232.589,1.49384,1.94143,1.48753,0.51384,0.46233,0.42097,0.23078,1.62297,2.08139,1.33918,9.97803e-06,9.97803e-06,9.97803e-06
8,263.571,1.49059,1.89101,1.49834,0.54862,0.46457,0.43433,0.238,1.59982,2.08829,1.32017,9.97011e-06,9.97011e-06,9.97011e-06
9,294.915,1.46408,1.82026,1.48762,0.52247,0.46864,0.4283,0.23468,1.62381,2.09611,1.33687,9.96097e-06,9.96097e-06,9.96097e-06
10,326.369,1.42616,1.80569,1.47559,0.52748,0.49921,0.43238,0.25877,1.52432,2.1093,1.28119,9.95062e-06,9.95062e-06,9.95062e-06
11,357.472,1.43113,1.78011,1.43592,0.50755,0.5207,0.46015,0.2821,1.48489,2.03646,1.26154,9.93906e-06,9.93906e-06,9.93906e-06
12,388.983,1.41524,1.68807,1.45269,0.54303,0.49185,0.45473,0.27563,1.47073,1.9958,1.25359,9.92629e-06,9.92629e-06,9.92629e-06
13,420.497,1.39251,1.64908,1.40797,0.58723,0.48027,0.47868,0.2923,1.47274,2.00362,1.26717,9.91232e-06,9.91232e-06,9.91232e-06
14,451.825,1.39485,1.63708,1.43616,0.51354,0.50421,0.47786,0.28009,1.5154,1.99707,1.28898,9.89715e-06,9.89715e-06,9.89715e-06
15,483.18,1.35296,1.5682,1.41015,0.54353,0.47184,0.47424,0.2769,1.57649,1.9718,1.30525,9.88079e-06,9.88079e-06,9.88079e-06
16,514.53,1.36736,1.56421,1.39455,0.58476,0.48233,0.50316,0.31116,1.45737,1.93187,1.25401,9.86323e-06,9.86323e-06,9.86323e-06
17,546.095,1.35204,1.61394,1.41151,0.56989,0.46851,0.50386,0.32422,1.40015,1.94761,1.23879,9.84449e-06,9.84449e-06,9.84449e-06
18,577.593,1.36022,1.55653,1.38795,0.6001,0.45999,0.5058,0.30134,1.49519,1.94097,1.27716,9.82456e-06,9.82456e-06,9.82456e-06
19,609.063,1.34792,1.55561,1.38747,0.58125,0.47055,0.51635,0.33564,1.37905,1.84153,1.21324,9.80345e-06,9.80345e-06,9.80345e-06
20,640.816,1.36085,1.53446,1.38944,0.49978,0.51489,0.51507,0.33615,1.37654,1.93194,1.20655,9.78118e-06,9.78118e-06,9.78118e-06
21,672.422,1.31892,1.4745,1.36801,0.61593,0.4611,0.52036,0.34024,1.39686,1.87359,1.21585,9.75773e-06,9.75773e-06,9.75773e-06
22,703.998,1.31576,1.48047,1.35188,0.56058,0.498,0.52543,0.34524,1.39761,1.8513,1.23514,9.73312e-06,9.73312e-06,9.73312e-06
23,735.801,1.30702,1.45448,1.35257,0.56596,0.49708,0.52426,0.33326,1.41488,1.84479,1.25021,9.70736e-06,9.70736e-06,9.70736e-06
24,767.488,1.29724,1.40937,1.327,0.5702,0.47348,0.52428,0.35346,1.39614,1.83506,1.25093,9.68045e-06,9.68045e-06,9.68045e-06
25,798.923,1.28664,1.40771,1.35054,0.5478,0.51753,0.52849,0.33771,1.4979,1.77958,1.32548,9.65239e-06,9.65239e-06,9.65239e-06
26,830.448,1.30351,1.42002,1.35063,0.57929,0.48443,0.52904,0.34,1.51657,1.70884,1.3907,9.6232e-06,9.6232e-06,9.6232e-06
27,861.931,1.28002,1.35679,1.33364,0.58269,0.5081,0.53268,0.34917,1.50726,1.71796,1.35114,9.59289e-06,9.59289e-06,9.59289e-06
28,893.182,1.30048,1.43347,1.33068,0.58555,0.50245,0.53209,0.34942,1.4857,1.722,1.33058,9.56145e-06,9.56145e-06,9.56145e-06
29,924.475,1.25904,1.33015,1.3116,0.59249,0.51586,0.53957,0.35834,1.44827,1.72744,1.32105,9.52889e-06,9.52889e-06,9.52889e-06
