epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,164.395,0.95641,4.3684,1.22059,0.04932,0.35884,0.03094,0.02389,1.09482,inf,1.30435,0.000274321,0.000274321,0.000274321
2,319.197,1.08852,2.48333,1.29602,0.23839,0.25838,0.12125,0.08274,1.23599,10.0433,1.44584,0.000546523,0.000546523,0.000546523
3,472.656,1.12458,2.11979,1.28882,0.28025,0.30008,0.20572,0.13905,1.2535,3.57694,1.39985,0.000813227,0.000813227,0.000813227
4,626.416,1.09337,1.96754,1.26011,0.26015,0.37304,0.25785,0.17849,1.2604,3.68514,1.39613,0.00080826,0.00080826,0.00080826
5,779.82,1.02427,1.66245,1.22835,0.37765,0.28568,0.26175,0.17507,1.26337,3.78233,1.36843,0.000800013,0.000800013,0.000800013
6,932.93,0.97665,1.56337,1.18889,0.34554,0.34479,0.28596,0.20383,1.19498,2.65097,1.27404,0.000791767,0.000791767,0.000791767
7,1086.58,0.94694,1.41723,1.16385,0.35423,0.35602,0.29093,0.20584,1.15655,2.52373,1.27347,0.00078352,0.00078352,0.00078352
8,1240.07,0.88945,1.31936,1.12729,0.3928,0.34665,0.29985,0.20873,1.13944,2.50025,1.23987,0.000775273,0.000775273,0.000775273
9,1393.37,0.83878,1.19892,1.11756,0.35249,0.36694,0.31288,0.22418,1.16994,2.42538,1.26733,0.000767026,0.000767026,0.000767026
10,1546.53,0.85195,1.16297,1.11144,0.32743,0.34367,0.29541,0.21362,1.1953,2.50099,1.28002,0.00075878,0.00075878,0.00075878
11,1699.64,0.80911,1.10786,1.09959,0.3588,0.37125,0.3302,0.23797,1.17587,2.42377,1.25725,0.000750533,0.000750533,0.000750533
12,1853.05,0.77146,1.02399,1.05479,0.40072,0.3624,0.32564,0.22975,1.18925,2.38677,1.27082,0.000742286,0.000742286,0.000742286
13,2005.83,0.76596,0.96789,1.06523,0.37633,0.38589,0.31474,0.22051,1.19223,2.45211,1.28758,0.00073404,0.00073404,0.00073404
14,2158.82,0.75876,0.91199,1.05887,0.37724,0.38048,0.32404,0.23692,1.14943,2.38649,1.23093,0.000725793,0.000725793,0.000725793
15,2311.97,0.74181,0.8794,1.04771,0.32903,0.37842,0.30494,0.22459,1.16789,2.53831,1.22643,0.000717546,0.000717546,0.000717546
16,2464.96,0.7426,0.88272,1.03512,0.38412,0.37133,0.32629,0.24416,1.11221,2.46555,1.24414,0.000709299,0.000709299,0.000709299
17,2618.15,0.7345,0.85469,1.03577,0.37764,0.37654,0.31146,0.22924,1.15138,2.4755,1.26567,0.000701053,0.000701053,0.000701053
18,2770.99,0.69631,0.81626,1.03684,0.45254,0.3339,0.32578,0.23919,1.13347,2.46575,1.25051,0.000692806,0.000692806,0.000692806
19,2923.87,0.69703,0.77854,1.00929,0.39334,0.35465,0.33123,0.24481,1.15608,2.55452,1.26044,0.000684559,0.000684559,0.000684559
20,3076.98,0.67611,0.72813,1.01041,0.373,0.39981,0.34542,0.2594,1.10758,2.37661,1.244,0.000676313,0.000676313,0.000676313
21,3230.03,0.67324,0.7101,0.99774,0.45998,0.32271,0.32876,0.24726,1.15531,2.58546,1.2623,0.000668066,0.000668066,0.000668066
22,3382.96,0.66845,0.71059,1.00484,0.36491,0.3746,0.31731,0.23161,1.13296,2.6,1.2547,0.000659819,0.000659819,0.000659819
23,3535.88,0.63739,0.66591,0.98326,0.35295,0.39345,0.33463,0.25721,1.09863,2.48738,1.24351,0.000651573,0.000651573,0.000651573
24,3688.74,0.6562,0.6828,0.98987,0.35968,0.37103,0.30998,0.22767,1.17986,2.5447,1.28048,0.000643326,0.000643326,0.000643326
25,3841.51,0.62031,0.65569,0.98411,0.39292,0.35556,0.32559,0.24326,1.12204,2.5314,1.2195,0.000635079,0.000635079,0.000635079
26,3994.25,0.61188,0.6212,0.9767,0.46318,0.33598,0.32938,0.25046,1.13745,2.65755,1.23862,0.000626832,0.000626832,0.000626832
27,4147.19,0.62525,0.63854,0.97681,0.42197,0.35764,0.32862,0.25585,1.10115,2.66994,1.2198,0.000618586,0.000618586,0.000618586
28,4299.97,0.60595,0.58409,0.95763,0.40536,0.40611,0.337,0.26284,1.08816,2.48933,1.21374,0.000610339,0.000610339,0.000610339
29,4452.77,0.60169,0.58838,0.9646,0.35884,0.40208,0.31947,0.2442,1.132,2.57448,1.27705,0.000602092,0.000602092,0.000602092
30,4605.43,0.60362,0.57613,0.95677,0.40275,0.37603,0.35101,0.27121,1.13498,2.53943,1.23892,0.000593846,0.000593846,0.000593846
31,4758.28,0.58424,0.56564,0.9627,0.39995,0.38339,0.32672,0.24054,1.14298,2.64267,1.2452,0.000585599,0.000585599,0.000585599
32,4911.27,0.58494,0.56349,0.94734,0.42887,0.3866,0.3401,0.25378,1.09971,2.54292,1.21436,0.000577352,0.000577352,0.000577352
33,5064.03,0.57567,0.57008,0.95102,0.41842,0.36027,0.32003,0.23805,1.1157,2.67928,1.24554,0.000569106,0.000569106,0.000569106
34,5216.81,0.56437,0.53345,0.94683,0.46048,0.36579,0.34389,0.25273,1.18511,2.60837,1.28941,0.000560859,0.000560859,0.000560859
35,5369.59,0.56633,0.51933,0.93705,0.40501,0.38242,0.32516,0.24825,1.09069,2.69612,1.20165,0.000552612,0.000552612,0.000552612
36,5522.5,0.58008,0.54522,0.95727,0.44214,0.33667,0.33748,0.25508,1.10296,2.58167,1.2354,0.000544365,0.000544365,0.000544365
37,5675.21,0.55283,0.51665,0.92991,0.41201,0.35548,0.32322,0.24734,1.09871,2.50416,1.23336,0.000536119,0.000536119,0.000536119
38,5828.06,0.54874,0.50033,0.92944,0.38008,0.36831,0.33098,0.25545,1.09504,2.62643,1.21049,0.000527872,0.000527872,0.000527872
39,5980.98,0.56027,0.53423,0.93948,0.42436,0.36661,0.33642,0.25535,1.11022,2.56837,1.24929,0.000519625,0.000519625,0.000519625
40,6133.79,0.54595,0.51067,0.92158,0.35152,0.3603,0.30997,0.23421,1.13777,2.70438,1.24539,0.000511379,0.000511379,0.000511379
41,6286.42,0.53678,0.48874,0.92689,0.38046,0.3724,0.31998,0.23676,1.14957,2.69145,1.24612,0.000503132,0.000503132,0.000503132
42,6439.21,0.53347,0.48545,0.92918,0.38798,0.38121,0.32243,0.24466,1.13992,2.73877,1.26707,0.000494885,0.000494885,0.000494885
43,6591.86,0.52875,0.47639,0.93394,0.45599,0.33485,0.34103,0.26215,1.13899,2.67073,1.26427,0.000486639,0.000486639,0.000486639
44,6744.72,0.52353,0.45631,0.92318,0.41593,0.37395,0.33727,0.26218,1.09501,2.67964,1.22288,0.000478392,0.000478392,0.000478392
45,6897.29,0.50725,0.45322,0.92646,0.3973,0.37087,0.33396,0.26176,1.11077,2.68251,1.23164,0.000470145,0.000470145,0.000470145
