epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.008,1.48078,3.53023,1.57897,0.30215,0.28487,0.19779,0.1249,1.58962,2.84657,1.38851,0.0672164,3.27869e-06,3.27869e-06
2,197.386,1.3389,2.25504,1.46235,0.38579,0.4112,0.28529,0.16894,1.48006,2.71121,1.27906,0.0338864,6.61162e-06,6.61162e-06
3,291.402,1.34554,2.22575,1.45274,0.45735,0.3711,0.33301,0.21089,1.34538,2.3756,1.19512,0.000556391,9.94293e-06,9.94293e-06
4,385.183,1.24303,1.90036,1.36424,0.39606,0.44148,0.33719,0.21578,1.3558,2.30595,1.20298,9.9945e-06,9.9945e-06,9.9945e-06
5,479.212,1.26334,1.87036,1.37181,0.39303,0.42638,0.35,0.21956,1.40795,2.28039,1.21732,9.99023e-06,9.99023e-06,9.99023e-06
6,572.763,1.25886,1.87924,1.371,0.41995,0.44301,0.36369,0.23085,1.39924,2.27535,1.20369,9.98474e-06,9.98474e-06,9.98474e-06
7,666.432,1.23456,1.80477,1.36389,0.43165,0.447,0.39599,0.25599,1.36162,2.18102,1.19319,9.97803e-06,9.97803e-06,9.97803e-06
8,760.387,1.21325,1.66908,1.34055,0.47927,0.42482,0.38417,0.24501,1.40201,2.16345,1.20052,9.97011e-06,9.97011e-06,9.97011e-06
9,854.158,1.20856,1.65381,1.33765,0.45086,0.45023,0.40821,0.25253,1.39158,2.16867,1.20559,9.96097e-06,9.96097e-06,9.96097e-06
10,947.511,1.21332,1.63716,1.35185,0.48745,0.41966,0.40786,0.25979,1.38025,2.19452,1.20275,9.95062e-06,9.95062e-06,9.95062e-06
11,1041.17,1.19122,1.63983,1.32159,0.46135,0.46311,0.405,0.263,1.37055,2.14739,1.19721,9.93906e-06,9.93906e-06,9.93906e-06
12,1135.11,1.1825,1.5158,1.31527,0.50332,0.45546,0.40868,0.2547,1.40973,2.15666,1.21809,9.92629e-06,9.92629e-06,9.92629e-06
13,1228.74,1.16547,1.50892,1.29096,0.49239,0.45062,0.42322,0.26134,1.37657,2.14429,1.19929,9.91232e-06,9.91232e-06,9.91232e-06
14,1322.58,1.16867,1.53802,1.31256,0.5018,0.46947,0.4243,0.25924,1.3728,2.1947,1.20098,9.89715e-06,9.89715e-06,9.89715e-06
15,1416.42,1.14168,1.46585,1.29629,0.51108,0.47557,0.43725,0.27832,1.39626,2.13345,1.21096,9.88079e-06,9.88079e-06,9.88079e-06
16,1510.13,1.13204,1.42392,1.2866,0.54756,0.45851,0.448,0.28988,1.34501,2.14724,1.19438,9.86323e-06,9.86323e-06,9.86323e-06
17,1603.77,1.13166,1.44879,1.27883,0.58434,0.44035,0.46274,0.29565,1.33909,2.0702,1.18695,9.84449e-06,9.84449e-06,9.84449e-06
18,1697.55,1.10766,1.38475,1.27958,0.50289,0.47328,0.44515,0.28033,1.35249,2.12213,1.18832,9.82456e-06,9.82456e-06,9.82456e-06
19,1791.21,1.13146,1.40324,1.28034,0.50844,0.46712,0.45938,0.29547,1.34774,2.12515,1.19229,9.80345e-06,9.80345e-06,9.80345e-06
20,1884.98,1.13391,1.39968,1.27195,0.52594,0.47378,0.46204,0.30597,1.34375,2.1315,1.19203,9.78118e-06,9.78118e-06,9.78118e-06
21,1978.71,1.09481,1.36888,1.25614,0.56933,0.47928,0.46255,0.29353,1.35586,2.0557,1.19235,9.75773e-06,9.75773e-06,9.75773e-06
22,2072.56,1.12381,1.36494,1.25972,0.56282,0.44215,0.45298,0.29426,1.30146,2.04032,1.17042,9.73312e-06,9.73312e-06,9.73312e-06
23,2166.21,1.10837,1.36221,1.26156,0.53084,0.47026,0.44636,0.28808,1.31282,2.16487,1.17959,9.70736e-06,9.70736e-06,9.70736e-06
24,2259.99,1.07869,1.26668,1.229,0.52538,0.50152,0.46396,0.29602,1.34898,2.09463,1.17985,9.68045e-06,9.68045e-06,9.68045e-06
25,2353.66,1.07165,1.28945,1.23887,0.60753,0.43035,0.47428,0.30109,1.34675,2.11227,1.18095,9.65239e-06,9.65239e-06,9.65239e-06
26,2447.36,1.10029,1.32393,1.26564,0.50284,0.51265,0.4727,0.30959,1.31532,2.0904,1.17669,9.6232e-06,9.6232e-06,9.6232e-06
27,2541.57,1.07314,1.2887,1.22844,0.50361,0.51047,0.47099,0.31193,1.31556,2.13096,1.18086,9.59289e-06,9.59289e-06,9.59289e-06
28,2635.35,1.0547,1.23763,1.20784,0.49073,0.51559,0.47833,0.31631,1.34043,2.06439,1.18408,9.56145e-06,9.56145e-06,9.56145e-06
29,2729.28,1.01954,1.21742,1.19539,0.55997,0.47896,0.47957,0.31094,1.36632,2.0511,1.19213,9.52889e-06,9.52889e-06,9.52889e-06
30,2822.74,1.06728,1.26148,1.23554,0.55172,0.48521,0.48911,0.32026,1.35529,2.07805,1.19156,9.49524e-06,9.49524e-06,9.49524e-06
31,2916.66,1.0563,1.23682,1.21888,0.52171,0.4672,0.47295,0.30689,1.35419,2.07692,1.1804,9.46048e-06,9.46048e-06,9.46048e-06
32,3010.33,1.05466,1.22065,1.21691,0.56106,0.47856,0.4803,0.31337,1.33518,2.06923,1.17706,9.42464e-06,9.42464e-06,9.42464e-06
33,3103.99,1.03446,1.17345,1.18732,0.61844,0.43381,0.47225,0.30818,1.31851,2.04134,1.17477,9.38772e-06,9.38772e-06,9.38772e-06
34,3197.64,1.03354,1.18247,1.211,0.5466,0.46947,0.47437,0.31011,1.33282,2.07152,1.17726,9.34973e-06,9.34973e-06,9.34973e-06
